anio	descripcion	titular	fecha	cartel	presidente
2010	Detención de Édgar Valdez Villarreal, 'La Barbie', operador de los brazos armados del Cártel de los Beltrán Leyva.	Detienen a 'La Barbie'	30 de agosto de 2010	beltran-leyva	
2010	Muere Ignacio, 'Nacho', Coronel en un enfrentamiento con el Ejército. Era uno de los líderes del Cártel de Sinaloa, estaba al mando de las actividades en Jalisco y el occidente del país.	Muere Ignacio Coronel	29 de julio de 2010	sinaloa	
2010	Muere Antonio Ezequiel Cárdenas Guillén, 'Tony Tormenta', cabecilla del cártel del Golfo.	Muere 'Tony Tormenta'	5 de noviembre de 2010	golfo	
2010	Supuesta muerte de Nazario Moreno, 'El Chayo', líder de La Familia Michoacana. Lo confima SSP pero nunca presentan el cuerpo. Tras el rumor, su grupo se separa para formar Los Caballeros Templarios.	Supuesta muerte de 'El Chayo'	9 de diciembre de 2010	familia-michoacana	
2011	Extradición a EU de Benjamín Arellano Félix.	Extraditan a Benjamín Arellano Félix	29 de abril de 2011	tijuana	
2011	Detención de Jesús Méndez Vargas alias 'El Chango', líder de La Familia Michoacana.	Detienen a Jesús Méndez, de la Familia Michoacana	21 de junio de 2011	familia-michoacana	
2011	Detención de Jesús Enrique Rejón Aguilar, 'El Mamito' o 'Z-3'. Acusado del homicidio del agente del ICE, Jaime Zapata. Fue uno de los fundadores de Los Zetas.	Detienen al Z-3	4 de julio de 2011	zetas	
2011	Detención de José Antonio Acosta Hernández, 'El Diego', líder de la célula delictiva La Línea, vinculada al Cártel de Juárez. Se le acusa del asesinato de mil 500 personas en Chihuahua, ordenar la masacre de Villas de Salvárcar y de las tres personas vinculadas con el Consulado de Estados Unidos en Ciudad Juárez.	Detienen al líder de La Línea	1 de agosto de 2011	juarez	
2011	Detención de Lucio Hernández Lechuga, 'El Lucky'. Fundador del grupo Los Zetas.	Detienen al fundador de Los Zetas	12 de diciembre de 2011	zetas	
2012	Detención de Erick Valencia Salazar, 'El 85', líder del Cártel Jalisco Nueva Generación.	Detienen al '85', líder del Cártel Jalisco Nueva Generación	9 de marzo de 2012	jalisco-nueva-generacion	FCH
2012	Detención de José Treviño Morales, hermano de Miguel Ángel Treviño Morales, líder de Los Zetas.	Detienen al líder de los Zetas, José Treviño Morales	12 de junio de 2012	zetas	FCH
2012	Extradición de Sandra Ávila Beltrán, sobrina de Miguel Ángel Félix Gallardo, líder de la Organización de Sinaloa y el Cártel de Guadalajara.	Extraditan a Sandra Ávila Beltrán a EU	9 de agosto de 2012	sinaloa	FCH
2012	Extradición de Eduardo Arellano Félix, miembro del Cártel de Tijuana.	Extraditan a Eduardo Arellano Félix	31 de agosto de 2012	tijuana	FCH
2012	Detención de Jorge Eduardo Costilla Sánchez, 'El Coss', uno de los líderes del Cártel del Golfo.	Detienen a Jorge Eduardo Costilla, líder del Cártel del Golfo	12 de septiembre de 2012	golfo	FCH
2012	Detención de Alfonso Martínez Escobedo, 'La Ardilla', señalado como presunto responsable de la muerte de migrantes en San Fernando, Tamaulipas.	Detienen al presunto responsable de la masacre de San Fernando	6 de octubre de 2012	zetas	FCH
2012	Muere Heriberto Lazcano Lazcano 'El Lazca', en un enfrentamiento con la Marina. Un grupo armado roba el cuerpo.	Muere Heriberto Lazcano	9 de octubre de 2012	zetas	FCH
2013	Asesinato del secretario de Turismo de Jalisco, Jesús Gallegos Álvarez. Autoridades vinculan el crimen al Cártel de Jalisco Nueva Generación.	Asesinan al secretario de Turismo de Jalisco	9 de marzo de 2013	jalisco-nueva-generacion	
2013	Detención de Fernando Sánchez Arellano, 'El Ingeniero', uno de los últimos eslabones de la cadena Arellano Félix, del Cártel de Tijuana.	Detienen a Fernando Sánchez Arellano, del Cártel de Tijuana	23 de junio de 2013	tijuana	
2013	Detención de Miguel Ángel Treviño 'Z-40', líder de Los Zetas.	Detienen al Z-40	15 de julio de 2013	zetas	
2013	Liberación de Rafael Caro Quintero tras 28 años en prisión.	Liberan a Rafael Caro Quintero	10 de agosto de 2013	sinaloa	
2013	Asesinato de Rafael Arellano Félix. El mayor de los hermanos Arellano Félix y fundador del Cártel de Tijuana. Lo matan en una fiesta, cuando un pistolero vestido de payaso le dispara.	Asesinan a Rafael Arellano Félix	18 de octubre de 2013	tijuana	
2013	Mario Ramírez Treviño, líder del Cártel del Golfo, es arrestado por elementos del Ejército y la Marina en Reynosa, Tamaulipas.	Arrestan a Mario Ramírez, líder del Cartel del Golfo	17 de diciembre de 2013	golfo	
2014	Detención de Dionisio Loya Plancarte, 'El Tio', líder de Los Caballeros Templarios.	Detienen a Dionisio Loya, líder de los Caballeros Templarios	27 de enero de 2014	caballeros-templarios	
2014	Detención de Joaquín 'El Chapo' Guzmán, líder del Cártel de Sinaloa, considerado el narcotraficante más buscado en México y Estados Unidos.	Detienen a 'El Chapo'	22 de febrero de 2014	sinaloa	
2014	Muere Nazario Moreno, 'El Chayo', líder del grupo criminal de Los Caballeros Templarios.	Muere Nazario Moreno, líder de Los Caballeros Templarios	9 de marzo de 2014	caballeros-templarios	
2014	Es abatido en Queretaro, durante un enfrentamiento, Enrique Plancarte Solís, 'El Kike Plancarte', líder Los Caballeros Templarios.	Muere Enrique Plancarte, líder de los Caballeros Templarios	31 de marzo de 2014	caballeros-templarios	
2014	Detención de José Juan Esparragoza Jiménez, 'El Cora'. Declaró ser hijo del capo Juan José Esparragoza Moreno, 'El Azul' y aseguró que su padre está muerto.	El hijo de 'El Azul' asegura que su padre está muerto	24 de agosto de 2014	sinaloa	
2014	Detención de Héctor Beltrán Leyva, líder del cártel Beltrán Leyva. Se hacía pasar por un empresario en Guanajuato.	Detienen a Héctor Beltrán Leyva	1 de octubre de 2014	beltran-leyva	
2014	Detención de Vicente Carrillo Fuentes, 'El Viceroy', líder del Cártel de Juárez.	Detienen a Vicente Carrillo Fuentes	9 de octubre de 2014	juarez	
2014	Detención de Ismael Zambada Imperial, hijo de Ismael 'El Mayo' Zambada, líder del Cártel de Sinaloa.	Detienen a al hijo del 'Mayo' Zambada	13 de noviembre de 2014	sinaloa	
